UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root          44       2      44  0    1 03:23 ?        00:00:00 [kworker/4:0H-kblockd]
root          45       2      45  0    1 03:23 ?        00:00:00 [kdevtmpfs]
root          46       2      46  0    1 03:23 ?        00:00:00 [kworker/R-inet_frag_wq]
root          47       2      47  0    1 03:23 ?        00:00:00 [rcu_tasks_kthread]
root          48       2      48  0    1 03:23 ?        00:00:00 [rcu_tasks_rude_kthread]
root          49       2      49  0    1 03:23 ?        00:00:00 [kauditd]
root          50       2      50  0    1 03:23 ?        00:00:00 [khungtaskd]
root          51       2      51  0    1 03:23 ?        00:00:00 [oom_reaper]
root          52       2      52  0    1 03:23 ?        00:00:10 [kworker/u20:1-flush-259:0]
root          53       2      53  0    1 03:23 ?        00:00:00 [kworker/R-writeback]
root          54       2      54  0    1 03:23 ?        00:00:01 [kcompactd0]
root          55       2      55  0    1 03:23 ?        00:00:00 [ksmd]
root          56       2      56  0    1 03:23 ?        00:00:00 [khugepaged]
root          57       2      57  0    1 03:23 ?        00:00:00 [kworker/R-kblockd]
root          58       2      58  0    1 03:23 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root          59       2      59  0    1 03:23 ?        00:00:00 [kworker/R-kintegrityd]
root          61       2      61  0    1 03:23 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          62       2      62  0    1 03:23 ?        00:00:00 [kworker/R-ata_sff]
root          63       2      63  0    1 03:23 ?        00:00:00 [kworker/R-md_bitmap]
root          64       2      64  0    1 03:23 ?        00:00:00 [kworker/R-md_llbitmap_io]
root          65       2      65  0    1 03:23 ?        00:00:00 [kworker/R-md_llbitmap_unplug]
root          66       2      66  0    1 03:23 ?        00:00:00 [kworker/R-edac-poller]
root          67       2      67  0    1 03:23 ?        00:00:00 [kworker/R-devfreq_wq]
root          68       2      68  0    1 03:23 ?        00:00:00 [watchdogd]
root          69       2      69  0    1 03:23 ?        00:00:00 [kworker/R-quota_events_unbound]
root          72       2      72  0    1 03:23 ?        00:00:00 [kswapd0]
root          73       2      73  0    1 03:23 ?        00:00:00 [ecryptfs-kthread]
root          74       2      74  0    1 03:23 ?        00:00:00 [kworker/R-kthrotld]
root          75       2      75  0    1 03:23 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root          78       2      78  0    1 03:23 ?        00:00:00 [kworker/R-mld]
root          79       2      79  0    1 03:23 ?        00:00:00 [kworker/R-ipv6_addrconf]
root          80       2      80  0    1 03:23 ?        00:00:00 [kworker/R-kstrp]
root          88       2      88  0    1 03:23 ?        00:00:00 [kworker/R-charger_manager]
root         305       2     305  0    1 03:23 ?        00:00:00 [kworker/R-nvme-wq]
root         306       2     306  0    1 03:23 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         307       2     307  0    1 03:23 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         308       2     308  0    1 03:23 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         309       2     309  0    1 03:23 ?        00:00:00 [scsi_eh_0]
root         310       2     310  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         311       2     311  0    1 03:23 ?        00:00:00 [scsi_eh_1]
root         312       2     312  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         313       2     313  0    1 03:23 ?        00:00:00 [scsi_eh_2]
root         314       2     314  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         315       2     315  0    1 03:23 ?        00:00:00 [scsi_eh_3]
root         316       2     316  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_3]
root         317       2     317  0    1 03:23 ?        00:00:00 [scsi_eh_4]
root         318       2     318  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_4]
root         319       2     319  0    1 03:23 ?        00:00:00 [scsi_eh_5]
root         320       2     320  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_5]
root         321       2     321  0    1 03:23 ?        00:00:00 [scsi_eh_6]
root         322       2     322  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_6]
root         323       2     323  0    1 03:23 ?        00:00:00 [scsi_eh_7]
root         324       2     324  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_7]
root         325       2     325  0    1 03:23 ?        00:00:00 [scsi_eh_8]
root         326       2     326  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_8]
root         327       2     327  0    1 03:23 ?        00:00:00 [scsi_eh_9]
root         328       2     328  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_9]
root         329       2     329  0    1 03:23 ?        00:00:00 [scsi_eh_10]
root         330       2     330  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_10]
root         331       2     331  0    1 03:23 ?        00:00:00 [scsi_eh_11]
root         332       2     332  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_11]
root         333       2     333  0    1 03:23 ?        00:00:00 [scsi_eh_12]
root         334       2     334  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_12]
root         335       2     335  0    1 03:23 ?        00:00:00 [scsi_eh_13]
root         336       2     336  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_13]
root         337       2     337  0    1 03:23 ?        00:00:00 [scsi_eh_14]
root         338       2     338  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_14]
root         339       2     339  0    1 03:23 ?        00:00:00 [scsi_eh_15]
root         340       2     340  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_15]
root         341       2     341  0    1 03:23 ?        00:00:00 [scsi_eh_16]
root         342       2     342  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_16]
root         343       2     343  0    1 03:23 ?        00:00:00 [scsi_eh_17]
root         344       2     344  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_17]
root         345       2     345  0    1 03:23 ?        00:00:00 [scsi_eh_18]
root         346       2     346  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_18]
root         347       2     347  0    1 03:23 ?        00:00:00 [scsi_eh_19]
root         348       2     348  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_19]
root         349       2     349  0    1 03:23 ?        00:00:00 [scsi_eh_20]
root         350       2     350  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_20]
root         351       2     351  0    1 03:23 ?        00:00:00 [scsi_eh_21]
root         352       2     352  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_21]
root         353       2     353  0    1 03:23 ?        00:00:00 [scsi_eh_22]
root         354       2     354  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_22]
root         355       2     355  0    1 03:23 ?        00:00:00 [scsi_eh_23]
root         356       2     356  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_23]
root         357       2     357  0    1 03:23 ?        00:00:00 [scsi_eh_24]
root         358       2     358  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_24]
root         359       2     359  0    1 03:23 ?        00:00:00 [scsi_eh_25]
root         360       2     360  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_25]
root         361       2     361  0    1 03:23 ?        00:00:00 [scsi_eh_26]
root         362       2     362  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_26]
root         363       2     363  0    1 03:23 ?        00:00:00 [scsi_eh_27]
root         364       2     364  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_27]
root         365       2     365  0    1 03:23 ?        00:00:00 [scsi_eh_28]
root         366       2     366  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_28]
root         367       2     367  0    1 03:23 ?        00:00:00 [scsi_eh_29]
root         368       2     368  0    1 03:23 ?        00:00:00 [kworker/R-scsi_tmf_29]
root         372       2     372  0    1 03:23 ?        00:00:00 [kworker/2:1H-kblockd]
root         387       2     387  0    1 03:23 ?        00:00:00 [kworker/4:1H-kblockd]
root         394       2     394  0    1 03:23 ?        00:00:00 [jbd2/nvme0n1p2-8]
root         395       2     395  0    1 03:23 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         414       2     414  0    1 03:23 ?        00:00:00 [irq/62-vmw_vmci]
root         415       2     415  0    1 03:23 ?        00:00:00 [irq/63-vmw_vmci]
root         416       2     416  0    1 03:23 ?        00:00:00 [irq/64-vmw_vmci]
root         453       1     453  0    1 03:23 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         489       2     489  0    1 03:23 ?        00:00:00 [kworker/1:1H-kblockd]
systemd+     496       1     496  0    1 03:23 ?        00:00:00 /usr/lib/systemd/systemd-oomd
systemd+     497       1     497  0    1 03:23 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         502       1     502  0    1 03:23 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         504       2     504  0    1 03:23 ?        00:00:00 [psimon]
root         554       2     554  0    1 03:23 ?        00:00:00 [irq/65-vmwgfx]
root         555       2     555  0    1 03:23 ?        00:00:00 [irq/66-vmwgfx]
root         556       2     556  0    1 03:23 ?        00:00:00 [irq/67-vmwgfx]
root         557       2     557  0    1 03:23 ?        00:00:00 [irq/68-vmwgfx]
root         558       2     558  0    1 03:23 ?        00:00:00 [irq/69-vmwgfx]
root         559       2     559  0    1 03:23 ?        00:00:00 [irq/70-vmwgfx]
root         560       2     560  0    1 03:23 ?        00:00:00 [kworker/R-ttm]
root         776       2     776  0    1 03:23 ?        00:00:00 [kworker/u21:1]
avahi       1251       1    1251  0    1 03:23 ?        00:00:00 avahi-daemon: running [bruno-VMware20-1.local]
root        1252       1    1252  0    1 03:23 ?        00:00:00 /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
message+    1253       1    1253  0    1 03:23 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1259       1    1259  0    1 03:23 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd     1260       1    1260  0    4 03:23 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1260       1    1352  0    4 03:23 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1260       1    1353  0    4 03:23 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1260       1    1356  0    4 03:23 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1264       1    1264  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1335  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1336  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1337  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1341  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1343  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1405  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1411  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1465  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1483  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1264       1    1609  0   11 03:23 ?        00:00:00 /usr/lib/snapd/snapd
root        1265       1    1265  0    4 03:23 ?        00:00:00 /usr/libexec/accounts-daemon
root        1265       1    1329  0    4 03:23 ?        00:00:00 /usr/libexec/accounts-daemon
root        1265       1    1330  0    4 03:23 ?        00:00:00 /usr/libexec/accounts-daemon
root        1265       1    1355  0    4 03:23 ?        00:00:00 /usr/libexec/accounts-daemon
root        1266       1    1266  0    1 03:23 ?        00:00:00 /usr/sbin/cron -f -P
root        1268       1    1268  0    4 03:23 ?        00:00:00 /usr/libexec/switcheroo-control
root        1268       1    1302  0    4 03:23 ?        00:00:00 /usr/libexec/switcheroo-control
root        1268       1    1304  0    4 03:23 ?        00:00:00 /usr/libexec/switcheroo-control
root        1268       1    1354  0    4 03:23 ?        00:00:00 /usr/libexec/switcheroo-control
root        1270       1    1270  0    1 03:23 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1271       1    1271  0    7 03:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1271       1    1312  0    7 03:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1271       1    1313  0    7 03:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1271       1    1357  0    7 03:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1271       1    1415  0    7 03:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1271       1    1416  0    7 03:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1271       1    1425  0    7 03:23 ?        00:00:00 /usr/libexec/udisks2/udisksd
avahi       1282    1251    1282  0    1 03:23 ?        00:00:00 avahi-daemon: chroot helper
root        1316       2    1316  0    1 03:23 ?        00:00:00 [kworker/3:1H-kblockd]
_chrony     1318    1252    1318  0    1 03:23 ?        00:00:00 /usr/sbin/chronyd -n -F 1
syslog      1333       1    1333  0    4 03:23 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1333       1    1381  0    4 03:23 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1333       1    1382  0    4 03:23 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1333       1    1383  0    4 03:23 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
_chrony     1349    1318    1349  0    1 03:23 ?        00:00:00 /usr/sbin/chronyd -n -F 1
root        1358       1    1358  0    4 03:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1358       1    1406  0    4 03:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1358       1    1407  0    4 03:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1358       1    1408  0    4 03:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1359       1    1359  0    1 03:23 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1401       1    1401  0    4 03:23 ?        00:00:00 /usr/sbin/ModemManager
root        1401       1    1417  0    4 03:23 ?        00:00:00 /usr/sbin/ModemManager
root        1401       1    1419  0    4 03:23 ?        00:00:00 /usr/sbin/ModemManager
root        1401       1    1422  0    4 03:23 ?        00:00:00 /usr/sbin/ModemManager
root        1489       1    1489  0    1 03:23 ?        00:00:00 /usr/sbin/cupsd -l
root        1492       1    1492  0    2 03:23 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1492       1    1536  0    2 03:23 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1510       1    1510  0   13 03:23 ?        00:00:00 /usr/bin/containerd
root        1510       1    1525  0   13 03:23 ?        00:00:02 /usr/bin/containerd
root        1510       1    1526  0   13 03:23 ?        00:00:04 /usr/bin/containerd
root        1510       1    1527  0   13 03:23 ?        00:00:00 /usr/bin/containerd
root        1510       1    1528  0   13 03:23 ?        00:00:04 /usr/bin/containerd
root        1510       1    1529  0   13 03:23 ?        00:00:00 /usr/bin/containerd
root        1510       1    1550  0   13 03:23 ?        00:00:04 /usr/bin/containerd
root        1510       1    1551  0   13 03:23 ?        00:00:05 /usr/bin/containerd
root        1510       1    1554  0   13 03:23 ?        00:00:03 /usr/bin/containerd
root        1510       1    1555  0   13 03:23 ?        00:00:02 /usr/bin/containerd
root        1510       1    4835  0   13 03:23 ?        00:00:04 /usr/bin/containerd
root        1510       1    4836  0   13 03:23 ?        00:00:04 /usr/bin/containerd
root        1510       1    5011  0   13 03:25 ?        00:00:01 /usr/bin/containerd
root        1523       1    1523  0    5 03:23 ?        00:00:00 /usr/sbin/gdm3
root        1523       1    1530  0    5 03:23 ?        00:00:00 /usr/sbin/gdm3
root        1523       1    1531  0    5 03:23 ?        00:00:00 /usr/sbin/gdm3
root        1523       1    1532  0    5 03:23 ?        00:00:00 /usr/sbin/gdm3
root        1523       1    1533  0    5 03:23 ?        00:00:00 /usr/sbin/gdm3
cups-br+    1635       1    1635  0    4 03:23 ?        00:00:00 /usr/sbin/cups-browsed
cups-br+    1635       1    1663  0    4 03:23 ?        00:00:00 /usr/sbin/cups-browsed
cups-br+    1635       1    1664  0    4 03:23 ?        00:00:00 /usr/sbin/cups-browsed
cups-br+    1635       1    1666  0    4 03:23 ?        00:00:00 /usr/sbin/cups-browsed
root        1636       1    1636  0   14 03:23 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1673  0   14 03:23 ?        00:00:02 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1674  0   14 03:23 ?        00:00:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1675  0   14 03:23 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1677  0   14 03:23 ?        00:00:02 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1679  0   14 03:23 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1680  0   14 03:23 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1837  0   14 03:23 ?        00:00:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1838  0   14 03:23 ?        00:00:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1863  0   14 03:23 ?        00:00:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1    1865  0   14 03:23 ?        00:00:02 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1   12383  0   14 03:37 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1   13831  0   14 03:39 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1636       1   14202  0   14 03:41 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
rtkit       1722       1    1722  0    3 03:23 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit       1722       1    1727  0    3 03:23 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit       1722       1    1728  0    3 03:23 ?        00:00:00 /usr/libexec/rtkit-daemon
colord      2144       1    2144  0    4 03:23 ?        00:00:00 /usr/libexec/colord
colord      2144       1    2151  0    4 03:23 ?        00:00:00 /usr/libexec/colord
colord      2144       1    2152  0    4 03:23 ?        00:00:00 /usr/libexec/colord
colord      2144       1    2154  0    4 03:23 ?        00:00:00 /usr/libexec/colord
root        2175       1    2175  0    4 03:23 ?        00:00:00 /usr/libexec/upowerd
root        2175       1    2240  0    4 03:23 ?        00:00:00 /usr/libexec/upowerd
root        2175       1    2241  0    4 03:23 ?        00:00:00 /usr/libexec/upowerd
root        2175       1    2243  0    4 03:23 ?        00:00:00 /usr/libexec/upowerd
root        2588       1    2588  0    4 03:23 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        2588       1    2595  0    4 03:23 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        2588       1    2596  0    4 03:23 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        2588       1    2597  0    4 03:23 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        2809    1523    2809  0    4 03:23 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root        2809    1523    2810  0    4 03:23 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root        2809    1523    2811  0    4 03:23 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root        2809    1523    2812  0    4 03:23 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root        2888       1    2888  0    4 03:23 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        2888       1    2892  0    4 03:23 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        2888       1    2893  0    4 03:23 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        2888       1    2894  0    4 03:23 ?        00:00:00 /usr/libexec/fwupd/fwupd
bruno       2920       1    2920  0    1 03:23 ?        00:00:00 /usr/lib/systemd/systemd --user
bruno       2922    2920    2922  0    1 03:23 ?        00:00:00 (sd-pam)
bruno       2955    2920    2955  0    1 03:23 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
bruno       2956    2920    2956  0    3 03:23 ?        00:00:00 /usr/bin/pipewire
bruno       2956    2920    2969  0    3 03:23 ?        00:00:00 /usr/bin/pipewire
bruno       2956    2920    2979  0    3 03:23 ?        00:00:07 /usr/bin/pipewire
bruno       2960    2920    2960  0    5 03:23 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
bruno       2960    2920    2962  0    5 03:23 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
bruno       2960    2920    2963  0    5 03:23 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
bruno       2960    2920    2967  0    5 03:23 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
bruno       2960    2920    2980  0    5 03:23 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
bruno       2961    2920    2961  0    1 03:23 ?        00:00:00 /usr/bin/mpris-proxy
bruno       2968    2920    2968  0    6 03:23 ?        00:00:00 /usr/bin/wireplumber
bruno       2968    2920    2986  0    6 03:23 ?        00:00:00 /usr/bin/wireplumber
bruno       2968    2920    2988  0    6 03:23 ?        00:00:00 /usr/bin/wireplumber
bruno       2968    2920    2989  0    6 03:23 ?        00:00:00 /usr/bin/wireplumber
bruno       2968    2920    3054  0    6 03:23 ?        00:00:00 /usr/bin/wireplumber
bruno       2968    2920    3065  0    6 03:23 ?        00:00:00 /usr/bin/wireplumber
bruno       2976    2920    2976  0    2 03:23 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
bruno       2976    2920    2982  0    2 03:23 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
bruno       2977    2920    2977  0    3 03:23 ?        00:00:00 /usr/bin/pipewire-pulse
bruno       2977    2920    2984  0    3 03:23 ?        00:00:00 /usr/bin/pipewire-pulse
bruno       2977    2920    2985  0    3 03:23 ?        00:00:00 /usr/bin/pipewire-pulse
bruno       3024    2809    3024  0    4 03:23 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
bruno       3024    2809    3038  0    4 03:23 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
bruno       3024    2809    3039  0    4 03:23 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
bruno       3024    2809    3040  0    4 03:23 tty2     00:00:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
bruno       3036    2920    3036  0    7 03:23 ?        00:00:00 /usr/libexec/xdg-document-portal
bruno       3036    2920    3099  0    7 03:23 ?        00:00:00 /usr/libexec/xdg-document-portal
bruno       3036    2920    3100  0    7 03:23 ?        00:00:00 /usr/libexec/xdg-document-portal
bruno       3036    2920    3101  0    7 03:23 ?        00:00:00 /usr/libexec/xdg-document-portal
bruno       3036    2920    3119  0    7 03:23 ?        00:00:00 /usr/libexec/xdg-document-portal
bruno       3036    2920    3122  0    7 03:23 ?        00:00:00 /usr/libexec/xdg-document-portal
bruno       3036    2920    3123  0    7 03:23 ?        00:00:00 /usr/libexec/xdg-document-portal
bruno       3053    3024    3053  0    4 03:23 tty2     00:00:00 /usr/libexec/gnome-session-init-worker ubuntu
bruno       3053    3024    3196  0    4 03:23 tty2     00:00:00 /usr/libexec/gnome-session-init-worker ubuntu
bruno       3053    3024    3197  0    4 03:23 tty2     00:00:00 /usr/libexec/gnome-session-init-worker ubuntu
bruno       3053    3024    3198  0    4 03:23 tty2     00:00:00 /usr/libexec/gnome-session-init-worker ubuntu
bruno       3103    2920    3103  0    4 03:23 ?        00:00:00 /usr/libexec/xdg-permission-store
bruno       3103    2920    3108  0    4 03:23 ?        00:00:00 /usr/libexec/xdg-permission-store
bruno       3103    2920    3109  0    4 03:23 ?        00:00:00 /usr/libexec/xdg-permission-store
bruno       3103    2920    3111  0    4 03:23 ?        00:00:00 /usr/libexec/xdg-permission-store
root        3120    3036    3120  0    1 03:23 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
